Tub,TreatComp,TreatHydro,Block,Species,NumMetas,AvgDays,Npossible,IndivMetaWt
1AE,A,Drying,1,PSRE,14,47.86,31,0.150
2AE,A,Drying,2,PSRE,8,44.88,30,0.175
3AE,A,Drying,3,PSRE,14,47.29,30,0.170
4AE,A,Drying,4,PSRE,22,43.91,30,0.197
5AE,A,Drying,5,PSRE,8,54,30,0.117
1AP,A,Permanent,1,PSRE,22,50.14,30,0.155
2AP,A,Permanent,2,PSRE,18,44.06,30,0.155
3AP,A,Permanent,3,PSRE,24,50.13,30,0.190
4AP,A,Permanent,4,PSRE,22,47.05,30,0.210
5AP,A,Permanent,5,PSRE,7,50.57,30,0.180
1BE,B,Drying,1,RACA,4,49.75,30,0.160
2BE,B,Drying,2,RACA,13,49.46,30,0.275
3BE,B,Drying,3,RACA,11,50.64,30,0.150
4BE,B,Drying,4,RACA,17,54.71,30,0.220
5BE,B,Drying,5,RACA,5,53,30,0.210
1BP,B,Permanent,1,RACA,9,52.67,30,0.230
2BP,B,Permanent,2,RACA,8,51.63,30,0.300
3BP,B,Permanent,3,RACA,13,49.77,30,0.310
4BP,B,Permanent,4,RACA,16,55.88,30,0.215
5BP,B,Permanent,5,RACA,4,52.5,30,0.195
1CE,C,Drying,1,ANBO,6,51,30,0.080
2CE,C,Drying,2,ANBO,24,49.17,30,0.165
3CE,C,Drying,3,ANBO,14,50.29,30,0.100
4CE,C,Drying,4,ANBO,11,51.55,30,0.143
5CE,C,Drying,5,ANBO,17,48.59,30,0.135
1CP,C,Permanent,1,ANBO,24,52.67,30,0.100
2CP,C,Permanent,2,ANBO,25,48.52,30,0.165
3CP,C,Permanent,3,ANBO,8,51,30,0.173
4CP,C,Permanent,4,ANBO,22,45.82,30,0.180
5CP,C,Permanent,5,ANBO,12,52.25,30,0.153
1DE,D,Drying,1,PSRE,0,,15,
2DE,D,Drying,2,PSRE,9,43.22,15,0.145
3DE,D,Drying,3,PSRE,9,50.22,15,0.140
4DE,D,Drying,4,PSRE,6,54.67,15,0.210
5DE,D,Drying,5,PSRE,5,55.6,15,0.115
1DE,D,Drying,1,RACA,2,43.5,15,0.160
2DE,D,Drying,2,RACA,7,51.86,15,0.265
3DE,D,Drying,3,RACA,2,53.5,15,0.150
4DE,D,Drying,4,RACA,10,51.6,15,0.200
5DE,D,Drying,5,RACA,2,45,15,0.185
1DP,D,Permanent,1,PSRE,6,52.83,15,0.220
2DP,D,Permanent,2,PSRE,5,48.8,15,0.100
3DP,D,Permanent,3,PSRE,8,54.88,15,0.180
4DP,D,Permanent,4,PSRE,2,57,15,
5DP,D,Permanent,5,PSRE,5,44.6,15,0.130
1DP,D,Permanent,1,RACA,12,50.42,15,0.310
2DP,D,Permanent,2,RACA,5,56.4,15,0.200
3DP,D,Permanent,3,RACA,7,54,15,0.230
4DP,D,Permanent,4,RACA,1,52,15,0.100
5DP,D,Permanent,5,RACA,3,50.33,15,0.170
1EE,E,Drying,1,ANBO,6,56.83,15,0.110
2EE,E,Drying,2,ANBO,5,56,15,0.070
3EE,E,Drying,3,ANBO,6,56.5,15,0.120
4EE,E,Drying,4,ANBO,4,64.75,15,0.180
5EE,E,Drying,5,ANBO,4,55.25,15,0.100
1EE,E,Drying,1,RACA,5,46.8,15,0.210
2EE,E,Drying,2,RACA,4,46.75,16,0.190
3EE,E,Drying,3,RACA,11,52,15,0.200
4EE,E,Drying,4,RACA,10,46.1,15,0.295
5EE,E,Drying,5,RACA,1,48,15,0.090
1EP,E,Permanent,1,ANBO,8,56.38,15,0.110
2EP,E,Permanent,2,ANBO,9,54.22,15,0.175
3EP,E,Permanent,3,ANBO,9,57.67,15,0.130
4EP,E,Permanent,4,ANBO,8,51.38,15,0.200
5EP,E,Permanent,5,ANBO,1,69,15,0.120
1EP,E,Permanent,1,RACA,5,45.4,15,0.270
2EP,E,Permanent,2,RACA,6,48.5,15,0.290
3EP,E,Permanent,3,RACA,11,51.27,15,0.290
4EP,E,Permanent,4,RACA,1,43,15,
5EP,E,Permanent,5,RACA,0,,15,
1FE,F,Drying,1,ANBO,5,58.4,15,0.140
2FE,F,Drying,2,ANBO,11,49.27,15,0.090
3FE,F,Drying,3,ANBO,5,49.6,15,0.120
4FE,F,Drying,4,ANBO,14,52.21,15,0.175
5FE,F,Drying,5,ANBO,13,52.54,15,0.120
1FE,F,Drying,1,PSRE,9,46.22,15,0.175
2FE,F,Drying,2,PSRE,6,50.67,15,0.155
3FE,F,Drying,3,PSRE,4,40.5,15,0.115
4FE,F,Drying,4,PSRE,11,43.91,15,0.195
5FE,F,Drying,5,PSRE,4,52.75,15,0.153
1FP,F,Permanent,1,ANBO,11,56.09,15,0.110
2FP,F,Permanent,2,ANBO,11,46.45,15,0.170
3FP,F,Permanent,3,ANBO,6,47,15,0.135
4FP,F,Permanent,4,ANBO,0,,15,
5FP,F,Permanent,5,ANBO,9,50.11,15,0.155
1FP,F,Permanent,1,PSRE,10,46.8,15,0.170
2FP,F,Permanent,2,PSRE,8,45.33,15,0.175
3FP,F,Permanent,3,PSRE,7,54.13,15,0.150
4FP,F,Permanent,4,PSRE,7,46,15,0.160
5FP,F,Permanent,5,PSRE,2,57,15,0.110
1GE,G,Drying,1,ANBO,5,60,10,0.165
2GE,G,Drying,2,ANBO,6,56.33,10,0.160
3GE,G,Drying,3,ANBO,5,64.6,10,
4GE,G,Drying,4,ANBO,5,58,10,0.110
5GE,G,Drying,5,ANBO,3,60,10,0.140
1GE,G,Drying,1,PSRE,2,49,10,0.130
2GE,G,Drying,2,PSRE,8,47.88,10,0.150
3GE,G,Drying,3,PSRE,4,41.25,10,0.110
4GE,G,Drying,4,PSRE,4,47,10,0.155
5GE,G,Drying,5,PSRE,1,40,10,0.110
1GE,G,Drying,1,RACA,5,46.8,10,0.415
2GE,G,Drying,2,RACA,3,50.33,10,0.200
3GE,G,Drying,3,RACA,4,51.5,10,0.200
4GE,G,Drying,4,RACA,3,48.33,10,0.250
5GE,G,Drying,5,RACA,2,46,10,0.150
1GP,G,Permanent,1,ANBO,6,61,10,0.245
2GP,G,Permanent,2,ANBO,8,49.63,10,0.195
3GP,G,Permanent,3,ANBO,5,63.2,10,0.130
4GP,G,Permanent,4,ANBO,2,45,10,0.160
5GP,G,Permanent,5,ANBO,9,45.22,10,0.170
1GP,G,Permanent,1,PSRE,5,53.2,10,0.175
2GP,G,Permanent,2,PSRE,6,46.5,10,0.160
3GP,G,Permanent,3,PSRE,4,47.75,10,0.140
4GP,G,Permanent,4,PSRE,8,47.63,10,0.140
5GP,G,Permanent,5,PSRE,6,42.83,10,0.130
1GP,G,Permanent,1,RACA,6,50,10,0.290
2GP,G,Permanent,2,RACA,7,49.71,10,0.300
3GP,G,Permanent,3,RACA,6,56,10,0.170
4GP,G,Permanent,4,RACA,2,59,10,0.120
5GP,G,Permanent,5,RACA,2,56,10,0.390
